order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,preferred_category,product_name,category,gender,order_amount,recency_days,frequency,monetary,tenure_days,avg_order_value,purchase_intensity,inactive_ratio
ORD5000,CUST1000,39,PROD200,Canada,2021-01-07,2023-02-21,0,active,2024-08-20,78.21,5,Sports,Football,Sports,Female,391.04999999999995,912,37,391.04999999999995,1687,10.568918918918918,0.021932424422050976,0.5406046235921754
ORD5001,CUST1001,61,PROD201,USA,2020-10-19,2021-12-08,0,active,2025-07-17,64.02,8,Sports,Refrigerator,Home,Female,512.16,1352,35,512.16,1767,14.633142857142856,0.019807583474816072,0.7651386530843237
ORD5002,CUST1002,26,PROD202,Pakistan,2023-06-10,2023-09-04,3,cancelled,2025-03-12,604.14,2,Electronics,Hoodie,Clothing,Female,1208.28,717,44,1208.28,803,27.46090909090909,0.0547945205479452,0.8929016189290162
ORD5003,CUST1003,54,PROD203,India,2023-07-30,2024-02-20,4,paused,2024-09-19,84.66,4,Sports,Conditioner,Beauty,Male,338.64,548,1,338.64,753,338.64,0.0013280212483399733,0.7277556440903055
ORD5004,CUST1004,50,PROD204,India,2020-12-09,2024-09-14,0,active,2024-08-08,62.66,7,Sports,Smartwatch,Electronics,Male,438.62,341,35,438.62,1716,12.532,0.020396270396270396,0.1987179487179487
ORD5005,CUST1005,46,PROD205,Pakistan,2023-05-16,2025-08-13,2,active,2024-10-14,221.61,8,Electronics,Hoodie,Clothing,Male,1772.88,8,16,1772.88,828,110.805,0.01932367149758454,0.00966183574879227
ORD5006,CUST1006,29,PROD206,Germany,2023-04-10,2025-07-15,1,active,2024-03-05,175.74,4,Clothing,Tablet,Electronics,Female,702.96,37,7,702.96,864,100.42285714285715,0.008101851851851851,0.04282407407407408
ORD5007,CUST1007,24,PROD207,UK,2022-07-11,2024-12-31,2,active,2025-03-21,9.56,5,Clothing,Jacket,Clothing,Female,47.800000000000004,233,34,47.800000000000004,1137,1.4058823529411766,0.02990325417766051,0.20492524186455585
ORD5008,CUST1008,53,PROD208,Pakistan,2021-04-25,2024-12-26,4,paused,2023-12-14,1525.8,1,Electronics,Nail Polish,Beauty,Female,1525.8,238,32,1525.8,1579,47.68125,0.02026599113362888,0.15072830905636478
ORD5009,CUST1009,38,PROD209,Germany,2021-12-09,2024-11-29,2,active,2021-12-24,337.24,4,Clothing,Camera,Electronics,Male,1348.96,265,6,1348.96,1351,224.82666666666668,0.0044411547002220575,0.19615099925980756
ORD5010,CUST1010,41,PROD210,UK,2020-10-04,2022-08-02,2,active,2023-11-23,203.05,6,Home,Dumbbells,Sports,Female,1218.3000000000002,1115,38,1218.3000000000002,1782,32.06052631578948,0.02132435465768799,0.6257014590347924
ORD5011,CUST1011,24,PROD211,Canada,2022-02-12,2025-03-12,1,active,2025-05-30,940.17,1,Beauty,Headphones,Electronics,Female,940.17,162,24,940.17,1286,39.17375,0.01866251944012442,0.12597200622083982
ORD5012,CUST1012,39,PROD212,Canada,2020-12-20,2023-01-16,2,active,2021-08-07,168.79,9,Beauty,Vacuum Cleaner,Home,Female,1519.11,948,36,1519.11,1705,42.1975,0.021114369501466276,0.5560117302052786
ORD5013,CUST1013,61,PROD213,USA,2021-02-19,2024-12-09,3,active,2024-01-26,236.77,8,Sports,Perfume,Beauty,Female,1894.16,255,5,1894.16,1644,378.832,0.0030413625304136255,0.1551094890510949
ORD5014,CUST1014,64,PROD214,UK,2021-02-27,2025-04-24,1,active,2023-12-06,130.32,6,Clothing,Cycling Helmet,Sports,Female,781.92,119,20,781.92,1636,39.096,0.012224938875305624,0.07273838630806846
ORD5015,CUST1015,28,PROD215,UK,2021-12-31,2023-11-15,5,cancelled,2024-11-30,333.99,3,Home,Face Wash,Beauty,Female,1001.97,645,27,1001.97,1329,37.11,0.020316027088036117,0.4853273137697517
ORD5016,CUST1016,34,PROD216,USA,2021-07-06,2025-08-02,1,active,2024-06-19,1875.08,1,Sports,Football,Sports,Female,1875.08,19,31,1875.08,1507,60.486451612903224,0.0205706702057067,0.012607830126078301
ORD5017,CUST1017,22,PROD217,Pakistan,2021-09-14,2024-08-04,0,cancelled,2024-01-27,211.24,6,Electronics,Cricket Bat,Sports,Male,1267.44,382,18,1267.44,1437,70.41333333333334,0.012526096033402923,0.26583159359777314
ORD5018,CUST1018,42,PROD218,USA,2023-05-25,2025-01-09,5,paused,2025-08-13,1702.39,1,Clothing,Sneakers,Clothing,Male,1702.39,224,14,1702.39,819,121.59928571428573,0.017094017094017096,0.27350427350427353
